人民幣	人民幣 ￥ 💴
myu	myu みゅ ミュ
n	n ん ン ⓝ Ⓝ 🄽 🅝 🅽 ⒩ 🄝 🇳 𝓃 𝒩 𝓷 𝓝 𝔫 𝔑 𝖓 𝕹 n̶ 𝚗 𝙽 𝕟 ℕ ń ň ǹ ṅ ñ ₙ ⁿ ɲ ɳ ȵ ƞ ŋ ꬻ ꝴ ŉ ꞥ ņ ṉ ṋ ṇ ᵰ ꞑ ᶇ ᴻ
na	na な ナ
ne	ne ね ネ
nga	nga かﾟ カﾟ
nge	nge けﾟ ケﾟ
ngi	ngi きﾟ キﾟ
ngo	ngo こﾟ コﾟ
ngu	ngu くﾟ クﾟ
ngwa	ngwa くﾟゎ クﾟヮ
ngya	ngya きﾟゃ キﾟャ
ngyo	ngyo きﾟょ キﾟョ
ngyu	ngyu きﾟゅ キﾟュ
ni	ni に ニ
nj	nj ǌ
no	no の ノ ❌ ✖ ✗ ✘ × ☒ ❎ 🙅‍♂ 🙅 🙅‍♀ 🆖 🙅🏻‍♂ 🙅🏼‍♂ 🙅🏽‍♂ 🙅🏾‍♂ 🙅🏿‍♂ 🙅🏻 🙅🏼 🙅🏽 🙅🏾 🙅🏿 🙅🏻‍♀ 🙅🏼‍♀ 🙅🏽‍♀ 🙅🏾‍♀ 🙅🏿‍♀
nu	nu Ν 𝛮 𝜈 ぬ ヌ
nya	nya にゃ ニャ
nyo	nyo にょ ニョ
nyu	nyu にゅ ニュ
o	o お オ ō ó ŏ ò ⓞ Ⓞ 🄾 🅞 🅾 ⒪ 🄞 🇴 ℴ 𝒪 𝓸 𝓞 𝔬 𝔒 𝖔 𝕺 o̶ 𝚘 𝙾 𝕠 𝕆 ô Ø ö ő ȯ õ ₒ º ɔ ᶗ ꬿ ǫ ọ ơ ɵ ᴑ ᴒ ᴓ ꝋ ꝍ ṓ ṑ ố ồ ỗ ổ ȱ ȫ ȭ ṏ ộ ǭ ǿ ớ ờ ỡ ở ợ ɷ ⱺ ᴖ ᴗ ᴏ ᴐ
oe	oe œ ᴔ ɶ
oi	oi ƣ
oo	oo ꝏ
ou	ou ȣ
p	p ⓟ Ⓟ ℗ 🄿 🅟 🅿 ⒫ 🄟 🇵 𝓅 𝒫 𝓹 𝓟 𝔭 𝔓 𝖕 𝕻 p̶ 𝚙 𝙿 𝕡 ℙ ṕ ṗ ᵽ ꝑ ᵱ ƥ ᶈ ꝓ ꝕ ɸ ⱷ ᴘ ꟼ
pa	pa ぱ パ
pe	pe ぺ ペ
pi	pi Π 𝛱 𝜋 ϖ 𝜛 ぴ ピ
po	po ぽ ポ
pu	pu ぷ プ
pya	pya ぴゃ ピャ
pyo	pyo ぴょ ピョ
pyu	pyu ぴゅ ピュ
q	q ー ⓠ Ⓠ 🅀 🅠 🆀 ⒬ 🄠 🇶 𝓆 𝒬 𝓺 𝓠 𝔮 𝔔 𝖖 𝕼 q̶ 𝚚 𝚀 𝕢 ℚ ɋ ꝗ ꝙ ʠ
qp	qp ȹ
r	r ʀ ⓡ Ⓡ 🅁 🅡 🆁 ⒭ 🄡 🇷 𝓇 ℛ 𝓻 𝓡 𝔯 ℜ 𝖗 𝕽 r̶ 𝚛 𝚁 𝕣 ℝ ŕ ř ȑ ȓ ṙ ᵣ ɍ ꞧ ᵲ ŗ ṟ ṛ ṝ ᵳ ɽ ᶉ ꭇ ꝵ ɹ ɺ ɻ ⱹ ɼ ɾ ɿ ꝛ ꝝ ᴙ ꝶ ʶ
ra	ra ら ラ
re	re れ レ
ri	ri り リ
ro	ro ろ ロ
ru	ru る ル
rya	rya りゃ リャ
ryo	ryo りょ リョ
ryu	ryu りゅ リュ
s	s $ ⓢ Ⓢ 🅂 🅢 🆂 ⒮ 🄢 🇸 𝓈 𝒮 𝓼 𝓢 𝔰 𝔖 𝖘 𝕾 s̶ 𝚜 𝚂 𝕤 𝕊 ś ŝ š ṡ ʂ ᵴ ꞩ ᶊ ş ṣ ș ȿ ṧ ṩ ʃ ʆ ᶘ ʅ ƪ ß ſ ẛ ẜ ẝ ꜱ
sa	sa さ サ
se	se せ セ
sha	sha しゃ シャ
she	she しぇ シェ
shi	shi し シ
sho	sho しょ ショ
shu	shu しゅ シュ
si	si すぃ スィ
so	so そ ソ
su	su す ス
t	t っ ッ ⓣ Ⓣ 🅃 🅣 🆃 ⒯ 🄣 🇹 𝓉 𝒯 𝓽 𝓣 𝔱 𝔗 𝖙 𝕿 t̶ 𝚝 𝚃 𝕥 𝕋 ť ṫ ẗ ₜ ʈ þ ŧ ⱦ ţ ṯ ṱ ṭ ț ƭ ᵵ ƫ ʇ ȶ ꝷ ᴛ Ʇ
ta	ta た タ
tc	tc ʨ
te	te て テ
th	th ᵺ
ti	ti てぃ ティ
tm	tm ™
to	to と ト
ts	ts ʦ ʧ
tsa	tsa つぁ ツァ
tse	tse つぇ ツェ
tsi	tsi つぃ ツィ
tso	tso つぉ ツォ
tsu	tsu つ ツ
tu	tu つﾟ ツﾟ とぅ トゥ
tya	tya てゃ テャ
tyo	tyo てょ テョ
tyu	tyu てゅ テュ
tz	tz ꜩ
u	u う ウ ū ú ŭ ù ü ǖ ǘ ǚ ǜ ⓤ Ⓤ 🅄 🅤 🆄 ⒰ 🄤 🇺 𝓊 𝒰 𝓾 𝓤 𝔲 𝔘 𝖚 𝖀 u̶ 𝚞 𝚄 𝕦 𝕌 ȕ û ȗ ů ũ ᵤ ʉ ủ ų ṷ ụ ṳ ṵ ư ʊ ᵿ ᶙ ứ ừ ữ ử ự ꭒ ꝸ ᴝ ᴞ Ű ᴜ
ue	ue ᵫ
v	v ⓥ Ⓥ 🅅 🅥 🆅 ⒱ 🄥 🇻 𝓋 𝒱 𝓿 𝓥 𝔳 𝔙 𝖛 𝖁 v̶ 𝚟 𝚅 𝕧 𝕍 ṽ ᵥ ṿ ꝟ ʋ ᶌ ⱴ ⱱ ỽ ʌ ᴠ
va	va ゔぁ ヴァ
ve	ve ゔぇ ヴェ
vi	vi ゔぃ ヴィ
vo	vo ゔぉ ヴォ
vu	vu ゔ ヴ
vy	vy ꝡ
vya	vya ゔゃ ヴャ
vyo	vyo ゔょ ヴョ
vyu	vyu ゔゅ ヴュ
w	w ⓦ Ⓦ 🅆 🅦 🆆 ⒲ 🄦 🇼 𝓌 𝒲 𝔀 𝓦 𝔴 𝔚 𝖜 𝖂 w̶ 𝚠 𝚆 𝕨 𝕎 ẃ ẁ ŵ ẇ ẅ ẘ ẉ ƿ ʍ ⱳ W̊ ᴡ
wa	wa わ ワ
we	we ゑ ヱ
whe	whe うぇ ウェ
whi	whi うぃ ウィ
wi	wi ゐ ヰ
wo	wo を ヲ
ww	ww ʬ
x	x ⓧ Ⓧ 🅇 🅧 🆇 ⒳ 🄧 🇽 𝓍 𝒳 𝔁 𝓧 𝔵 𝔛 𝖝 𝖃 x̶ 𝚡 𝚇 𝕩 𝕏 ẋ ẍ ᶍ ₓ ꭖ
y	y ⓨ Ⓨ 🅈 🅨 🆈 ⒴ 🄨 🇾 𝓎 𝒴 𝔂 𝓨 𝔶 𝔜 𝖞 𝖄 y̶ 𝚢 𝚈 𝕪 𝕐 ȳ ý ỳ ŷ ẏ ÿ ẙ ỹ ɏ ỷ ỵ ƴ ʎ ỿ ꭚ ʏ
ya	ya や ヤ
yo	yo よ ヨ
yu	yu ゆ ユ
z	z ⓩ Ⓩ 🅉 🅩 🆉 ⒵ 🄩 🇿 𝓏 𝒵 𝔃 𝓩 𝔷 ℨ 𝖟 𝖅 z̶ 𝚣 𝚉 𝕫 ℤ ź ž ẑ ż ʐ ʑ ƶ ẕ ẓ ᵶ ȥ ⱬ ᶎ ʒ ǯ ʓ ƹ ƺ ᶚ θ ᶿ ɀ ꝣ ᴢ ᴣ
za	za ざ ザ
ze	ze ぜ ゼ
zi	zi ずぃ ズィ
zo	zo ぞ ゾ
zu	zu ず ズ づ ヅ
阿尔巴尼亚	阿尔巴尼亚 🇦🇱
阿尔及利亚	阿尔及利亚 🇩🇿
阿拉伯联合酋长国	阿拉伯联合酋长国 🇦🇪
阿拉伯聯合大公國	阿拉伯聯合大公國 🇦🇪
阿拉伯男人	阿拉伯男人 🧔🏻
阿拉丁灯神	阿拉丁灯神 🧞‍♀ 🧞‍♂ 🧞
阿兰群岛	阿兰群岛 🇦🇽
阿联	阿联 🇦🇪
阿联酋	阿联酋 🇦🇪
阿鲁巴	阿鲁巴 🇦🇼
阿鲁巴岛	阿鲁巴岛 🇦🇼
阿森松岛	阿森松岛 🇦🇨
阿爷	阿爷 👴 👴🏻
埃塞俄比亚	埃塞俄比亚 🇪🇹
爱	爱 👫 👬 👭 💑 👨‍❤‍👨 👩‍❤‍👩 😍 😘 🥰 😻 🤟 🤟🏻 🤟🏼 🤟🏽 🤟🏾 🤟🏿 ❤ 💓 💗 ❤️️
爱尔兰	爱尔兰 🇮🇪
爱你	爱你 😍 😘 🥰 😻 🤟 🤟🏻 🤟🏼 🤟🏽 🤟🏾 🤟🏿 😚 😽
爱情	爱情 👫 👬 👭 💑 👨‍❤‍👨 👩‍❤‍👩 💓 💑🏻
爱情宾馆	爱情宾馆 🏩
爱情旅馆	爱情旅馆 🏩
爱沙尼亚	爱沙尼亚 🇪🇪
爱心	爱心 ❤ 💗 🫶🏻
爱心礼物	爱心礼物 💝
爱意	爱意 💟
愛心禮物	愛心禮物 💝
安道尔	安道尔 🇦🇩
安道尔共和国	安道尔共和国 🇦🇩
安道爾共和國	安道爾共和國 🇦🇩
安地卡及巴布达	安地卡及巴布达 🇦🇬
安圭拉岛	安圭拉岛 🇦🇮
安检	安检 🛂 🛃 🛄 🛅
安静	安静 😯 🤐 🤫 🤭 🙊
安全	安全 🔐
安提瓜和巴布达	安提瓜和巴布达 🇦🇬
安心	安心 😌
按摩师	按摩师 💆🏻‍♂ 💆🏻
按钮	按钮 🅰 🆎 🅱 🆑 🆒 🆓 ℹ 🆔 Ⓜ 🆕 🆖 🅾 🆗 🅿 🆘 🆙 🆚 🔘
暗夜精灵	暗夜精灵 🧝🏻‍♀ 🧝🏻‍♂ 🧝🏻
奥地利	奥地利 🇦🇹
奥兰群岛	奥兰群岛 🇦🇽
奧蘭群島	奧蘭群島 🇦🇽
澳大利亚	澳大利亚 🇦🇺
澳门	澳门 🇲🇴
八带鱼	八带鱼 🐙
八点	八点 🕗
八点半	八点半 🕣
八点钟	八点钟 🕗
八卦	八卦 ☯ ☰ ☱ ☲ ☳ ☷ ☶ ☵ ☴ 天乾☰ 泽兑☱ 火离☲ 雷震☳ 地坤☷ 山艮☶ 水坎☵ 风巽☴
八门	八门 开门 休门 生门 伤门 杜门 景门 死门 惊门
八荣八耻	八荣八耻 社会主义荣辱观 以热爱祖国为荣，以危害祖国为耻；以服务人民为荣，以背离人民为耻；以崇尚科学为荣，以愚昧无知为耻；以辛勤劳动为荣，以好逸恶劳为耻；以团结互助为荣，以损人利己为耻；以诚实守信为荣，以见利忘义为耻；以遵纪守法为荣，以违法乱纪为耻；以艰苦奋斗为荣，以骄奢淫逸为耻。
八爪鱼	八爪鱼 🐙
巴贝多	巴贝多 🇧🇧
巴布亚纽几内亚	巴布亚纽几内亚 🇵🇬
巴布亚新几内亚	巴布亚新几内亚 🇵🇬
巴哈马	巴哈马 🇧🇸
巴拿马	巴拿马 🇵🇦
把戏	把戏 🤹🏻‍♀ 🤹🏻‍♂ 🤹🏻
霸王龙	霸王龙 🦖
白痴	白痴 🐷
白俄罗斯	白俄罗斯 🇧🇾
白发	白发 👨🏻‍🦳 👩🏻‍🦳 🧑🏻‍🦳
白饭	白饭 🍚
白老鼠	白老鼠 🐁
白领	白领 👨‍💼 🧑‍💼 👩‍💼 👨🏻‍💼 👨🏼‍💼 👨🏽‍💼 👨🏾‍💼 👨🏿‍💼 🧑🏻‍💼 🧑🏼‍💼 🧑🏽‍💼 🧑🏾‍💼 🧑🏿‍💼 👩🏻‍💼 👩🏼‍💼 👩🏽‍💼 👩🏾‍💼 👩🏿‍💼
白罗斯	白罗斯 🇧🇾
白人	白人 👨🏼 👩🏼 👱🏼‍♀ 👱🏼 👴🏼 👵🏼 👦🏼 👧🏼 👶🏼 🧓🏼 🧑🏼 🧒🏼
白种人	白种人 👨🏼 👩🏼 👱🏼‍♀ 👱🏼 👴🏼 👵🏼 👦🏼 👧🏼 👶🏼 🧓🏼 🧑🏼 🧒🏼
白種人	白種人 👨🏼 👩🏼 👱🏼‍♀ 👱🏼 👴🏼 👵🏼 👦🏼 👧🏼 👶🏼 🧓🏼 🧑🏼 🧒🏼
百点	百点 💯
百點	百點 💯
百分	百分 % ％ 💯
百货	百货 🏬
百货大楼	百货大楼 🏬
百货公司	百货公司 🏬
百货商店	百货商店 🏬
百貨公司	百貨公司 🏬
百家姓	百家姓 赵钱孙李 周吴郑王 冯陈褚卫 蒋沈韩杨 朱秦尤许 何吕施张 孔曹严华 金魏陶姜 戚谢邹喻 柏水窦章 云苏潘葛 奚范彭郎 鲁韦昌马 苗凤花方 俞任袁柳 酆鲍史唐 费廉岑薛 雷贺倪汤 滕殷罗毕 郝邬安常 乐于时傅 皮卞齐康 伍余元卜 顾孟平黄 和穆萧尹 姚邵湛汪 祁毛禹狄 米贝明臧 计伏成戴 谈宋茅庞 熊纪舒屈 项祝董梁 杜阮蓝闵 席季麻强 贾路娄危 江童颜郭 梅盛林刁 钟徐邱骆 高夏蔡田 樊胡凌霍 虞万支柯 昝管卢莫 经房裘缪 干解应宗 丁宣贲邓 郁单杭洪 包诸左石 崔吉钮龚 程嵇邢滑 裴陆荣翁 荀羊於惠 甄曲家封 芮羿储靳 汲邴糜松 井段富巫 乌焦巴弓 牧隗山谷 车侯宓蓬 全郗班仰 秋仲伊宫 宁仇栾暴 甘钭厉戎 祖武符刘 景詹束龙 叶幸司韶 郜黎蓟薄 印宿白怀 蒲邰从鄂 索咸籍赖 卓蔺屠蒙 池乔阴鬱 胥能苍双 闻莘党翟 谭贡劳逄 姬申扶堵 冉宰郦雍 卻璩桑桂 濮牛寿通 边扈燕冀 郏浦尚农 温别庄晏 柴瞿阎充 慕连茹习 宦艾鱼容 向古易慎 戈廖庾终 暨居衡步 都耿满弘 匡国文寇 广禄阙东 欧殳沃利 蔚越夔隆 师巩厍聂 晁勾敖融 冷訾辛阚 那简饶空 曾毋沙乜 养鞠须丰 巢关蒯相 查后荆红 游竺权逯 盖益桓公 万俟司马 上官欧阳 夏侯诸葛 闻人东方 赫连皇甫 尉迟公羊 澹台公冶 宗政濮阳 淳于单于 太叔申屠 公孙仲孙 轩辕令狐 钟离宇文 长孙慕容 鲜于闾丘 司徒司空 丌官司寇 仉督子车 颛孙端木 巫马公西 漆雕乐正 壤驷公良 拓跋夹谷 宰父谷梁 晋楚闫法 汝鄢涂钦 段干百里 东郭南门 呼延归海 羊舌微生 岳帅缑亢 况郈有琴 梁丘左丘 东门西门 商牟佘佴 伯赏南宫 墨哈谯笪 年爱阳佟 第五言福 百家姓终
百慕达	百慕达 🇧🇲
柏树	柏树 🌳
败	败 🉈
拜托	拜托 🙏 🥺
斑马	斑马 🦓
板车	板车 🛴 🛵
版权	版权 © ℗ ©️
办公大楼	办公大楼 🏢
办公楼	办公楼 🏢
半	半 :30
辦公大樓	辦公大樓 🏢
扮鬼脸	扮鬼脸 😜
扮鬼臉	扮鬼臉 😜
扮酷	扮酷 😎
绑上缎带的心	绑上缎带的心 💝
綁上緞帶的心	綁上緞帶的心 💝
包谷	包谷 🌽
包头巾	包头巾 👳
包头巾的男人	包头巾的男人 👳
包頭巾	包頭巾 👳
包頭巾的男人	包頭巾的男人 👳
包装	包装 📦
包装盒	包装盒 🎁
薄饼	薄饼 🍕 🥞 🫓
宝宝	宝宝 👶 🚼
宝贝	宝贝 👶 👶🏻
宝石	宝石 💎 💠
保加利亚	保加利亚 🇧🇬
保龄	保龄 🎳
保龄球	保龄球 🎳
保险丝	保险丝 ⏛
堡垒	堡垒 🏰
报表	报表 📊
报警	报警 🚔
报刊	报刊 📰
报纸	报纸 📰 🗞
報刊	報刊 📰
暴风	暴风 🌀
悲伤	悲伤 😢 😭
悲傷	悲傷 😢 😭
悲痛	悲痛 😢
北朝鲜	北朝鲜 🇰🇵
北韩	北韩 🇰🇵
北马里亚纳群岛	北马里亚纳群岛 🇲🇵
北马利安纳群岛	北马利安纳群岛 🇲🇵
北馬里亞納群島	北馬里亞納群島 🇲🇵
北馬利安納群島	北馬利安納群島 🇲🇵
贝	贝 🐚
贝壳	贝壳 🐚
贝类	贝类 🐚
贝里斯	贝里斯 🇧🇿
贝南	贝南 🇧🇯
贝宁	贝宁 🇧🇯
备忘	备忘 📝
备忘录	备忘录 📝 🗒 📇 📋 📕
被骗	被骗 💸
備忘	備忘 📝
奔马	奔马 🐎
比利时	比利时 🇧🇪
比例	比例 4:3 16:9
比萨	比萨 🍕
比萨片	比萨片 🍕
比薩片	比薩片 🍕
比赛	比赛 🆚
笔	笔 ✏ ✒ 🖋 🖊
笔电	笔电 💻
笔划	笔划 ㇀ ㇁ ㇂ ㇃ ㇄ ㇅ ㇆ ㇇ ㇈ ㇉ ㇊ ㇋ ㇌ ㇍ ㇎ ㇏ ㇐ ㇑ ㇒ ㇓ ㇔ ㇕ ㇖ ㇗ ㇘ ㇙ ㇚ ㇛ ㇜ ㇝ ㇞ ㇟ ㇠ ㇡ ㇢ ㇣
笔记	笔记 📒
笔记本	笔记本 💻 📔 📓
笔记本电脑	笔记本电脑 💻
笔记簿	笔记簿 📓 📔
笔录	笔录 📝
筆記	筆記 📒
筆錄	筆錄 📝
鄙视	鄙视 👎 👎🏻 👎🏼 👎🏽 👎🏾 👎🏿 🖕 😒 🖕🏻
毕业	毕业 🎓
闭目养神	闭目养神 😑
闭眼	闭眼 😝
闭嘴	闭嘴 🤐 🤭 🙊 🤫 😠 😷 🫢
閉眼	閉眼 😝
壁炉钟	壁炉钟 🕰 🕰️
边防	边防 🛂
边检	边检 🛂
便当	便当 🍱 🥡
便条	便条 📝
标靶	标靶 🎯
标签	标签 🏷 📑 🏷️
标志	标志 ㍻ ㍼ ㍽ ㍾ ㍿ ✆ ☏ 〒 〶 〠 ☢ ☣ ☠ ♲ ♳ ♴ ♵ ♶ ♷ ♸ ♹ ♺ ♻ ♼ ♽ ♾ ℠ $ € ¥ ¢ £ ₽ ₨ ₩ ฿ ₺ ₮ ₱ ₭ ₴ ₦ ৲ ৳ ૱ ௹ ﷼ ₹ ₲ ₪ ₡ ₫ ៛ ₵ ₢ ₤ ₳ ₠ ₣ ₰ ₧ ₯ ♩ ♪ ♫ ♬ ♭ ♮ ♯ ♠ ♣ ♥ ♦ ♿ ⚠ ⚡ ⛔ ✅ 🅰 🅱 🅾 🅿 🆎 💭 📵 🔞 🚫 🚬 🚭 🚮 🚯 🚰 🚱 🚳 🚷 🚸 🚹 🚺 🚻 🚼 🚽 🚾 🛂 🛃 🛄 🛅
标准	标准 ⊖
標靶	標靶 🎯
標誌	標誌 ♠ ♣ ♥ ♦ ♿ ⚠ ⚡ ⛔ ✅ ➿ 🅰 🅱 🅾 🅿 🆎 💭 📵 🔞 🚫 🚬 🚭 🚮 🚯 🚰 🚱 🚳 🚷 🚸 🚹 🚺 🚻 🚼 🚽 🚾 🛂 🛃 🛄 🛅
表	表 🕛 🕧 🕐 🕜 🕑 🕝 🕒 🕞 🕓 🕟 🕔 🕠 🕕 🕡 🕖 🕢 🕗 🕣 🕘 🕤 🕙 🕥 🕚 🕦 📈 📉 📊 ⌚ ⌚️
表情	表情 ☺ 😁 😂 😃 😄 😅 😆 😇 😈 😉 😊 😋 😌 😍 😎 😏 😐 😒 😓 😔 😕 😖 😘 😚 😜 😝 😞 😠 😡 😢 😣 😤 😥 😨 😩 😪 😫 😭 😰 😱 😲 😳 😵 😶 😷 😸 😹 😺 😻 😼 😽 😾 😿 🙀
表演艺术	表演艺术 🎭
表意不好	表意不好 🙅
表意好	表意好 🙆
别出声	别出声 🤫
别烦我	别烦我 😑
别理我	别理我 😑
别乱讲	别乱讲 🙊
别乱说	别乱说 🙊
别骗我	别骗我 😳
别墅	别墅 🏡 🏘
别墅区	别墅区 🏘 🏘️
别说	别说 🤭 🫢
别说了	别说了 🤐 🤭 🫢
别在意	别在意 🙏 🙏🏻
别针	别针 🧷
宾馆	宾馆 🏨 🏩
冰岛	冰岛 🇮🇸
冰壶	冰壶 🥌
冰块	冰块 🧊
饼	饼 🥞 🌮 🌯 🀙 🀚 🀛 🀜 🀝 🀞 🀟 🀠 🀡 🫓
饼干	饼干 🥨 🥯 🥠 🍩 🍪 🍘 🧇
并	并 ∪
并集	并集 ∪
病原体	病原体 🦠
波兰	波兰 🇵🇱
波浪号	波浪号 〰 〰️
波浪线	波浪线 〰
波利维亚	波利维亚 🇧🇴
波罗	波罗 🍍
波士尼亚赫塞哥维纳	波士尼亚赫塞哥维纳 🇧🇦
波士尼亞	波士尼亞 🇧🇦
波斯尼亚	波斯尼亚 🇧🇦
波斯尼亚和黑塞哥维那	波斯尼亚和黑塞哥维那 🇧🇦
波斯尼亚和黑塞哥维纳	波斯尼亚和黑塞哥维纳 🇧🇦
波扎那	波扎那 🇧🇼
玻尔	玻尔 尼尔斯·玻尔 Niels Bohr
玻利维亚	玻利维亚 🇧🇴
菠萝	菠萝 🍍
播放一次	播放一次 🔂
伯利兹	伯利兹 🇧🇿
泊车	泊车 🅿 🅿️
博茨瓦纳	博茨瓦纳 🇧🇼
博奈尔	博奈尔 🇧🇶
博兹瓦纳	博兹瓦纳 🇧🇼
不错	不错 😎
不错啊	不错啊 😀 😺
不得入内	不得入内 🚫
不等于	不等于 ≠
不对吧	不对吧 🤨
不敢说	不敢说 🙊
不敢听	不敢听 🙉
不干	不干 😝 🙅 🙅🏻‍♀ 🙅🏻‍♂ 🙅🏻
不高兴	不高兴 😒 😠 😩
不告诉你	不告诉你 😏
不关我事	不关我事 💁 🤷🏻‍♀ 🤷🏻‍♂ 🤷🏻
不怀好意	不怀好意 😼
不懷好意	不懷好意 😼
不会	不会 😝
不会吧	不会吧 😟 😦
不会啦	不会啦 😝
不见	不见 😣
不讲	不讲 🤐
不开心	不开心 😔 😞 😠
不可	不可 🙅
不列颠	不列颠 🇬🇧
不列顛	不列顛 🇬🇧
不能说	不能说 😷 🙊 🤭 🫢
不能听	不能听 🙉
不说	不说 😷 🙊 🤐 🤭 🫢
不说了	不说了 😷 🤭 🫢
不听	不听 🙉
不喜欢	不喜欢 🥴
不晓得	不晓得 😲
不许看	不许看 🙈
不许说	不许说 🙊
不许听	不许听 🙉
不允許	不允許 ❎
不允许	不允许 ❎
不准说	不准说 🙊
不准听	不准听 🙉
不准吸烟	不准吸烟 🚭
布基纳法索	布基纳法索 🇧🇫
布吉纳法索	布吉纳法索 🇧🇫
布维岛	布维岛 🇧🇻
部首	部首 丨 亅 丿 乛 一 乙 丶 乚 十 厂 匚 刂 卜 冂 亻 八 人 入 勹 儿 匕 几 亠 冫 丷 冖 讠 凵 卩 阝 刀 力 又 厶 廴 干 艹 屮 彳 巛 川 辶 寸 大 飞 彑 工 弓 廾 广 己 彐 巾 口 马 门 宀 女 犭 山 彡 尸 饣 士 扌 氵 纟 巳 土 囗 兀 夕 小 忄 幺 弋 尢 夂 子 贝 比 灬 长 车 歹 斗 厄 方 风 父 戈 卝 户 火 旡 见 斤 耂 毛 木 牛 牜 爿 片 攴 攵 气 欠 犬 日 氏 礻 手 殳 水 瓦 王 韦 文 无 毋 心 穴 牙 爻 曰 月 爫 支 止 爪 白 癶 甘 瓜 禾 钅 立 龙 矛 皿 母 目 疒 鸟 皮 生 石 矢 示 罒 田 玄 疋 业 衤 用 玉 臣 虫 而 耳 缶 艮 虍 臼 老 耒 米 糸 齐 肉 色 舌 糹 网 西 覀 行 血 羊 页 衣 羽 聿 至 舟 竹 自 辰 赤 辵 豆 谷 龟 角 里 卤 麦 身 豕 辛 言 邑 酉 鱼 豸 走 足 采 齿 非 阜 金 隶 黾 青 雨 隹 釒 革 骨 鬼 韭 面 食(飠) 首 香 音 髟 高 鬲 黄 鹿 麻 鼎 黑 黍 鼓 鼠 裏 鼻 龠
财	财 ㊖ ㈶
财迷	财迷 🤑
彩带	彩带 🎀
彩蛋	彩蛋 🎉
彩礼	彩礼 💝
彩旗	彩旗 🚩
彩球	彩球 🎊
彩色碎纸	彩色碎纸 🎊
彩心	彩心 💙 💚 💛 💜
菜篮	菜篮 🧺
菜青虫	菜青虫 🐛
参禅	参禅 🧘🏻‍♀ 🧘🏻‍♂ 🧘🏻
参考	参考 ※
餐铃	餐铃 🛎 🛎️
餐盘	餐盘 🍽 🍽️
餐厅	餐厅 🍴
餐廳	餐廳 🍴
餐饮	餐饮 ☕
餐飲	餐飲 ☕
残疾人设施	残疾人设施 ♿ ♿️
残阳	残阳 🌇
残月	残月 🌘 🌙
残障	残障 ♿
残障人士	残障人士 ♿
殘障	殘障 ♿
殘障人士	殘障人士 ♿
惨	惨 😫 😦
仓鼠	仓鼠 🐹
仓鼠脸	仓鼠脸 🐹
苍蝇	苍蝇 𓆦 🪰
操你妈	操你妈 🤬
草莓蛋糕	草莓蛋糕 🍰
草泥马	草泥马 🦙
草药	草药 🌿
厕所	厕所 🚾 🚹 🚺 🚽
插头	插头 🔌
插销	插销 🔌
查包	查包 🛃
查行李	查行李 🛃 🛄
查询	查询 📖 🔍
查詢	查詢 📖 🔍
查证	查证 🛂
查證	查證 🛂
馋	馋 🤤 😋
缠头	缠头 👳🏻‍♀ 👳🏻‍♂ 👳🏾
颤抖	颤抖 😨 😱
長棍麫包	長棍麫包 🥖
長棍麵包	長棍麵包 🥖
長條圖	長條圖 📊
尝	尝 👅
常绿乔木	常绿乔木 🌲
常綠喬木	常綠喬木 🌲
常青树	常青树 🌲
嘗	嘗 👅
唱歌符号	唱歌符号 〽
唱歌符號	唱歌符號 〽
朝鲜	朝鲜 🇰🇵
朝阳	朝阳 🌄
嘲讽	嘲讽 👎
嘲諷	嘲諷 👎
嘲弄	嘲弄 😝
潮汐	潮汐 🌊
炒虾	炒虾 🍤
炒蝦	炒蝦 🍤
车	车 🚗 🚕 🚙 🚌 🚎 🏎 🚓 🚑 🚒 🚐 🚚 🚛 🚔 🚍 🚘 🚖 🛺 🎢 🛻
车来了	车来了 🚘
车厘子	车厘子 🍒
车头	车头 🚆
车箱	车箱 🚆
车站	车站 🚉 🚏
车子	车子 🚗 🚘
車子	車子 🚗 🚘
扯谎	扯谎 🤥
撤销	撤销 ↩ ↩️
沉睡	沉睡 💤
沉思	沉思 😔
衬衫	衬衫 👔 👕
衬衫领带	衬衫领带 👔
衬衣	衬衣 👔
称赞	称赞 👍
稱贊	稱贊 👍
稱讚	稱讚 👍
撑伞	撑伞 ☔ ☔️
成人节目	成人节目 🔞
成人節目	成人節目 🔞
成双成对	成双成对 👫 👫🏻
城轨	城轨 🚈 🚇 🚊 🚞 🚋 🚃 🚟
乘号	乘号 ✖
乘积	乘积 ∏
程序员	程序员 👨‍💻 🧑‍💻 👩‍💻 👨🏻‍💻 👨🏼‍💻 👨🏽‍💻 👨🏾‍💻 👨🏿‍💻 🧑🏻‍💻 🧑🏼‍💻 🧑🏽‍💻 🧑🏾‍💻 🧑🏿‍💻 👩🏻‍💻 👩🏼‍💻 👩🏽‍💻 👩🏾‍💻 👩🏿‍💻
吃吧	吃吧 😋
吃饭	吃饭 🍚
吃角子老虎	吃角子老虎 🎰
吃惊	吃惊 😱 😲
吃驚	吃驚 😱 😲
吃面	吃面 🍜
吃药	吃药 💊
吃藥	吃藥 💊
喫麵	喫麵 🍜
嗤笑	嗤笑 😏
齿	齿 🦷
齿轮	齿轮 ⚙ ⚙️
赤道几内亚	赤道几内亚 🇬🇶
赤道幾内亞	赤道幾内亞 🇬🇶
